2694,الاوليمبياد
33,الجايه
1,هكون
75,لسه
6,الكليه
7,عجز
1,الموازنه
17,وصل
1,ل937
1,الناتج
1,المحلي
15,اقل
25,7
1,نفلس
2,بهايم
2,يتابعوا
1,كتنا
3,نيله
1,حظنا
1,الهباب
2,xD
2,جميعنا
4,نريد
5,تحقيق
1,اهدافنا
9,تونس
2,تالقت
2,حراسه
2,المرمي
1,نظامها
8,مختلف
3,ومواعيد
3,المونديال
2,مكانتش
2,مقرفه
297,حاجه
13,معقوله
92,دلوقتي
13,عندها
7,اربع
41,سنين
7,ومحدش
11,يقدر
2,يكلمها
306,الحب
1,يسلبها
1,كيدها
1,يرجعها
1,براءتها
26,الاولي
1,ويدفعها
2,الذهاب
13,بعيدا
13,تعرف
1,وحيث
16,تخاف
9,فهي
1,تقاومك
14,احيانا
5,تقاوم
18,نفسها
65,تحب
2,she3er
10,شوفي
57,بـ
36,عيني
1,امنيات
16,الغلابه
4,واحلام
2,ثلثين
10,الشعوب
1,سنابي
1,she3er1
2,86
26,صوتك
33,حبيبي
1,الثالث
11,بعدك
10,وبعد
24,عيونك
103,بوح
55,غزل
36,عمر
2,عسر
4,اتغلب
5,وخرج
1,وبيكمل
2,مسيره
618,مصر
1,الفاشله
4,iu
4,ناويه
677,خايفه
19,الصراحه
28,مدري
48,وش
21,فيني
1,عالماشي
8,لقاء
3,نادر
2,لنجمه
5,ناديه
1,لطفي
2,شاشه
1,ماسبيرو
33,زمان
18,اتحاد
2,ترفيه
5,فن
5,موسيقي
2,ويل
166,قلبي
27,كثر
1,اغليه
12,ويا
10,ماله
3,خفوقي
11,محبه
86,❤
61,الخير
7,عاجبني
60,فشخ
70,العرب
8,داخلين
93,دول
10,خصوصا
14,الديحاني
11,خد
24,الدهب
6,رمايه
9,قاعدين
1,يطبلوله
1,متحسبتش
1,لعربي
15,قيمه
1,لزحام
13,الاشخاص
7,حولك
3,يكفيك
62,قلب
8,صادق
17,تشعر
1,اقواله
1,وافعاله
4,يمشي
43,معك
22,الطريق
3,نهايته
25,•
5,كتابات
1,يوسف…
25,20
111,سنه
5,وهيلعب
19,نيجيريا
3,ايفونا
24,كويس
4,اغار
3,بجنون
1,ولسعات
2,غيرتي
1,تخدش
4,تفاصيل
6,القاء
1,ولاهدوء
2,اعدك
1,اراك
6,اجمع
1,اشباهك
6,الاربعين
3,سجون
1,ابديه
4,لا…
1,كـنت
1,نفسـك
1,تبـني
1,دنـيا
1,طعـم
70,تاني
1,حـاجه
1,تـانيه
41,المفروض
1,يلغوها
1,وندخل
15,الاسكواش
2,مكانها
54,احسن
3,25jan
11,اعوذ
76,باله
3,مايسوي
7,الرز
4,تحكوا
42,عنه
4,قطره
20,دم
6,لواحد
37,اخوانا
112,المصرين
11,يحميك
5,يامصر
8,ويحفظ
17,اهلك
1,هالمنظر
45,متعاطف
37,قلبا
15,وقالبا
1,الاناث
23,0
2,نسيتوا
1,تعبها
47,طول
15,السنين
2,جالسه
1,تسويه
10,ابسط
1,حقوقها
99,شي
1,تدفعون
1,وم
1,تفكرون
2,بالمبلغ
3,دعيت
15,عطف
1,توافيق
28,اسمه
1,يخاشر
1,دعوتي
1,بالدقيقه
11,المواطن
2,يخبط
5,راسه
1,الحيط
2,احتجاجا
14,واذا
1,قبضوا
50,يقول
4,بيشوف
2,الحيطه
2,جامده
3,جلال
4,عامر
54,بعثه
10,رايحه
9,تفرج
4,زيها
8,زينا
130,بقي
13,بيحصل
5,يخلي
45,الاطفال
1,التمانينيات
1,والتسعينيات
8,وكمان
3,مواليد
1,مايحقوش
9,حته
1,واتاري
2,المحاسبه
3,غداره
14,التوفيق
1,لجهاز
2,الاداري
3,بقياده
13,عبدالعزيز
2,المطوع
1,وحسين
7,عاشور
33,يوفقهم
183,يارب
1,ساتر
1,بيهمدوش
35,ابدا
62,جماعه
4,الشيطان
87,اجمل
1,تزوريني
9,الحلم
1,لتطمئني
5,الحزين
185,يوم
54,جميل
28,دعاء
314,الهم
11,اشف
2,عبدك
2,لؤي
18,صالح
2,مقبل
5,تعرض
1,لجلطه
1,الزمته
2,الفراش
44,الحمد
3,تحسن
9,مستمر
1,ويطلب
7,دعواتكم
14,حاليا
20,مركز
2,61
2,67
10,بلاش
1,مصدومه
1,عاطفيا
1,ونفسيا
1,وجسديا
1,هيش
1,ماهذا
21,الدعاء
7,لاهلنا
119,حلب
9,فهم
10,بحاجه
4,يتعرضون
1,لقصف
1,شرس
10,نسال
11,يحفظهم
4,فهناك
4,العشرات
7,الشهداء
1,والجرحي
24,اسال
1,يتقبلهم
1,ويشافيهم
83,عارف
115,البرازيل
7,فازت
2,بتنظيم
25,امبارح
15,بقول
1,افترقنا
42,حياتي
1,نهايتها
1,وانهارده
22,بقيت
4,موش
50,عايز
216,حد
10,قدامي
14,يجيب
1,سيرتها
1,Minawya9
49,خلاص
7,مهو
24,دخل
1,افكسو
1,مالهاشتاج
2,ونكتب
6,هاشتاج
1,ترحيب
23,بيه
2,فتويتر
73,ايران
2,تمول
56,قناه
4,الحره
22,وبعدين
21,تري
1,مابغي
1,امحيك
47,الارض
2,خلينا
5,حبايب
2,وبلاش
10,مشاكل
25,فيديو
1,بيل
3,كروس
67,لازم
2,يلعبوا
1,غصبا
36,عنهم
9,السوبر
18,ياربي
12,الاختبار
134,مره
4,يقع
156,حب
4,العقول
1,الوجوه
58,اما
17,افتح
5,بتذيع
22,الاقي
77,امريكا
20,الصين
1,بيتنافسو
7,الذهب
62,الالعاب
10,الفرديه
45,تقريبا
107,مفيش
1,غيركو
2,باقيلي
18,12
13,دقيقه
175,اول
4,حلقه
2,بلاك
1,ميرور
1,اكملها
2,حيصير
3,سند
2,هيلب
11,علاء
52,ابو
8,القاسم
1,انصاب
47,لاسف
15,خسر
18,انهارده
18,برضه
51,بطل
1,هنتحبط
11,شكلها
10,مفيهاش
13,نوم
1,وهنقعد
4,نتابع
1,لصبحاو
7,بقينا
29,الصبح
1,اصف
5,جنبك
207,ربنا
19,يتولاهم
1,رحمتو
11,انقذوا
43,اطفال
18,السرطان
18,الصرخي
5,يحطم
5,كهنوتيه
14,السيستاني
3,يواجه
6,السلطه
1,الفاسده
1,انتقاله
2,عجيبه
1,عقيل
2,الخزعلي
13,مذيع
2,بقناه
1,افاق
1,التابعه
1,لمالكي
21,وزير
5,داخليه
3,وكاله
1,لاعجب
64,دوله
1,ملشيات
1,1424
70,عونهم
33,صوره
3,موجعه
3,لابعد
22,الماتش
18,الجاي
22,قدام
5,السويد
63,واحده
3,بتنافس
50,ذهبيه
17,المنتخب
1,السلانكتيه
30,لدرجه
6,اصلي
2,مكنت
10,بفكر
3,صحابي
1,بالصلاه
25,وربنا
9,بخاف
3,جاريدو
16,مدرب
49,بتاع
3,بطيخ
2,فضحتنا
3,تشمت
19,فينا
2,الزملكاويه
73,اصلا
1,متعودين
7,الخساره
1,ليـه
1,كـدا
23,ياخي
8,عمرها
1,ماحصلت
12,ماشاء
1,المحمدي
2,كورته
3,نظيفه
2,شيفو
1,متوازن
6,دفاع
1,وهجوم
32,شئ
6,يبرد
86,القلب
12,برده
3,وفق
21,باقي
4,اولادنا
38,الايام
13,جايه
3,وارزقهم
4,الفضه
2,البرونز
7,رهيب
22,باي
4,موراي
79,ابن
1,الجزمه
19,ياخد
53,السنه
2,وذهبيه
31,فات
18,وزاره
2,التجاره
1,تدعو
4,الشركات
1,المتاثره
1,بارتفاع
9,البنزين
1,لتقديم
1,ادلتها
1,مشده
1,ضروره
5,تطبيق
5,القانون
1,المخالفين
1,يرفعون
1,الاسعاربشكل
1,مصطنع
6,تجيني
5,اكتفي
3,جيتك
20,ماقيل
37,بالحب
1,ابحر
7,الصحابه
1,لنبي
10,ﷺ
1,واقطف
1,بستانهم
5,تكتفي
2,واشرب
1,نهرهم
1,ترتوي
1,الخالي
1,الشوائب
3,اتاخرت
28,قوي
2,ياصلاح
9,قربت
16,تخلص
3,ياخساره
1,ثـانـي
1,ميـداليـه
1,مصـريـه
131,محمد
20,ايهاب
37,برونزيه
108,رفع
12,اثقال
83,ريو
46,جانيرو
55,2016
1,تنازل
1,متعات
86,الحياه
2,تجلس
1,ساكتا
3,وحيدا
1,متاملا
6,منظر
20,السماء
4,هدوء
2,تام
2,يوميات
1,جيمي
5,خف
2,جدتي
6,ذره
27,وجع
2,ترهقها
5,وانزل
73,عليها
3,لتزيل
3,تعبك
94,رب
19,العالمين
3,اشفها
4,وخف
17,عنها
5,مراره
2,الا…
1,الوليه
2,المذيعه
15,تكلم
11,راي
12,الجمهور
1,يروحها
49,الجيش
2,والجان
4,الشعبيه
5,جيزان
1,يسطرون
1,الملاحم
6,دعوات
78,الشعب
12,اليمني
44,وكل
1,مستضعفي
125,العالم
1,تناصركم
67,خير
35,رجال
1,واصدقها
31,واضح
16,الحكومه
39,مرعوبه
73,1
3,تعويم
10,الدعم
1,المحروقات
10,بتقول
22,مشكله
14,اغلب
242,خايف
4,فضح
15,الفساد
27,يجي
19,حرب
2,ودمار
1,وسرقه
22,فهو
1,مضطر
1,يطبل
3,لفساد
1,والسرقه
1,انطق
1,بالحق
6,ستبقي
1,بالقبر
9,وحيد
15,زياده
4,رواتب
2,القطرين
3,بتضحك
1,وعينيها
14,دموع
1,ساده
10,اعشق
10,شيرين
14,يحي
4,SherenYehia
3,مكملين
10,StaracArabia
8,عشقي
7,ينتهي
1,مبنلمسش
22,الكوره
1,النرويج
2,تهدي
1,فنلندا
1,جبلا
19,عيد
1,استقلالها
99,اكثر
1,البورتريكيه
1,مونيكا
1,بويغ
5,تصنع
26,التاريخ
1,بتويجها
5,بالذهبيه
1,لبلدها
16,حساب
1,انجليك
1,كيربر
25,6
39,4
3,براء
1,MOSAD
55,مرعب
1,متناكه
1,جالده
20,الجزائر
1,ويكسب
36,5
9,مرات
6,مرتين
81,مبروك
2,لتونس
52,الف
1,TUN
1,يامال
1,فرقا
25,العين
127,ميداليه
20,وحده
4,لعرب
30,والي
1,جايبها
